Dataset,Algorithm,Run_ID,Best_Fitness,Info_Loss,Accuracy_Original,Accuracy_After,Execution_Time_s,K_Violations,L_Violations,Iterations,Success,Solution_Vector
mgm,ARO-APO,4,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,112.5449538230896,0,0,5,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,2,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,143.666339635849,0,0,9,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,7,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,156.76423382759094,0,0,10,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,11,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,81.76787233352661,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,3,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,173.9309279918671,0,0,13,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,12,67.68072289156626,0.45,0.8192771084337349,0.5481927710843374,93.85300183296204,0,0,2,1,"[4, 2, 1, 1, 1]"
mgm,ARO-APO,15,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,76.9362096786499,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,17,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,77.41628813743591,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,14,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,82.34874200820923,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,16,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,82.04519724845886,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,18,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,75.16198706626892,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,13,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,127.8561806678772,0,0,7,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,20,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,75.25566673278809,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,19,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,90.30832028388976,0,0,2,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,21,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,75.42454814910889,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,22,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,78.01972389221191,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,24,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,79.64862203598022,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,23,67.68072289156626,0.45,0.8192771084337349,0.5481927710843374,90.64472889900208,0,0,2,1,"[4, 2, 1, 1, 1]"
mgm,GA,1,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,48.043673276901245,0,0,4,1,"[4, 2, 0, 1, 1]"
mgm,GA,2,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,45.11137509346008,0,0,3,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,28,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,75.62950563430786,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,26,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,110.81124567985536,0,0,5,1,"[4, 2, 0, 1, 1]"
